,titulo,clasificacion,duracion,año,sinopsis
0,El Nuevo Mundo,SAM16,55 MIN,2019,"Catalina de Aragón llega a Inglaterra para casarse con el Príncipe Arturo, heredero del trono inglés, en un contrato matrimonial creado para forjar una alianza entre las"
1,Sueño Febril,SAM16,57 MIN,2019,"Catalina está un paso más cerca del trono inglés después de su casamiento con Arturo, pero debe navegar los desafíos de una nueva relación y una nueva Corte."
2,Un Plan Audaz,SAM16,54 MIN,2019,Catalina está decidida a ser la futura Reina de Inglaterra y hace planes para casarse con el Príncipe Enrique. La reina Isabel tiene una premonición preocupante después
3,La Batalla por Enrique,SAM16,56 MIN,2019,"Mientras la nación llora por la muerte de la Reina Isabel, y Catalina trabaja para asegurar su matrimonio con Enrique, el Rey Enrique VII sorprende a la familia"
4,El Corazón se Enfrenta al Deber,SAM16,56 MIN,2019,"Catalina se enfrenta a un dilema: casarse con el Rey Enrique VII y convertirse de inmediato en la Reina de Inglaterra, o hallar el modo de rechazarlo y esperar a Enrique."
5,Un Secuestro Cortés,SAM16,55 MIN,2019,"El trono inglés parece estar al alcance de las manos de Catalina, pero un desafortunado giro del destino hace que su futuro ahora esté en manos de su inestable hermana"
6,Todo Está Perdido,SAM16,54 MIN,2019,"Todo el país sufre. Catalina apenas es reconocida como la Princesa Española y Maggie está desahuciada, pero Catalina está decidida a no abandonar su destino."
7,Destino,SAM16,60 MIN,2019,El destino de Inglaterra pende de un hilo cuando la familia Tudor es sacudida por la tragedia. Catalina arriesga todo para averiguar si Enrique aún la ama.
8,Camelot,SAM16,58 MIN,2020,"Con una poderosa alianza con España y un heredero durmiendo en su cuna, ¿qué podría salir mal para la glamorosa pareja real de Catalina y Enrique?"
9,Flodden,SAM16,56 MIN,2020,"Enrique invade Francia, dejando a una embarazada Catalina para defender a Inglaterra del rey escocés James IV. Que la batalla de Flodden comienze…"
10,Duelo,SAM16,57 MIN,2020,"Mientras Catalina lucha por restaurar su matrimonio después de otra tragedia, Meg debe encontrar la manera de mantener Escocia a flote después de la sangrienta batalla de"
11,La Otra Mujer,SAM16,58 MIN,2020,"Mientras Meg pone en peligro todo por amor, una embarazada Catalina lucha con la repugnante sospecha de que Enrique le está siendo infiel."
12,Plaga,SAM16,58 MIN,2020,"Cuando la plaga golpea Londres, la corte huye a Hampton Court, pero Maggie y Thomas More permanecen en el palacio vacío y sorprendentemente romántico."
13,El campo de tela de oro,SAM16,56 MIN,2020,"Una gran reunión en Francia es el telón de fondo para un choque político de ingenio entre Catalina y Wolsey, mientras que, en Londres, estallan disturbios."
14,Fe,SAM16,59 MIN,2020,"Una nueva religión está en ascenso, así como la tensión en la corte. Catalina debe evitar que la peligrosa paranoia de Enrique convierta a sus amigos en enemigos…"
15,Paz,SAM16,59 MIN,2020,"Mientas Enrique se sumerge en la locura, las apuestas nunca han sido tan altas para Catalina. Su esposo se ha convertido en una amenaza para su vida."
16,Tráiler oficial,SAM16,1 MIN,2020,"La princesa española vuelve para seguir con la historia de la reina Catalina y Enrique VIII. Pese a mostrar su valor en la corte, Catalina lucha por salvar su amor con el"
